,Symbol,Name,Sector,Industry
681,046140,SBS콘텐츠허브,"영화, 비디오물, 방송프로그램 제작 및 배급업","컨텐츠, 프로젝트"
682,178920,SKC코오롱PI,플라스틱제품 제조업,PI필름
683,052260,SK바이오랜드,기타 화학제품 제조업,"천연물질 추출물, 미생물 배양제품"
684,048550,SM C&C,"영화, 비디오물, 방송프로그램 제작 및 배급업","영상콘텐츠 제작 및 매니지먼트, 여행"
685,052300,W홀딩컴퍼니,기타 운송관련 서비스업,운송
686,053950,경남제약,의약품 제조업,PCB 드릴가공
687,024910,경창산업,자동차 신품 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품"
688,049080,기가레인,특수 목적용 기계 제조업,RF통신부품 및 반도체 장비
689,121600,나노신소재,기타 화학제품 제조업,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등"
690,042420,네오위즈홀딩스,기타 금융업,지주사업
691,041140,넥슨지티,소프트웨어 개발 및 공급업,게임소프트웨어개발 공급
692,217270,넵튠,소프트웨어 개발 및 공급업,모바일게임
693,039560,다산네트웍스,통신 및 방송 장비 제조업,네트워크 통신장비
694,068240,다원시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","핵융합 전원장치, 플라즈마 전원장치, 태양광 CVD 전원장치, 산업용 특수정류기"
695,104040,대성파인텍,자동차 신품 부품 제조업,"자동차부품(시트,도어) 제조"
696,262830,대신밸런스제4호스팩,금융 지원 서비스업,기업인수 및 합병
697,005710,대원산업,자동차 신품 부품 제조업,자동차시트
698,290380,대유,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약"
699,054670,대한뉴팜,의약품 제조업,"동물약품, 인체약품, 유아용품"
700,206560,덱스터,"영화, 비디오물, 방송프로그램 제작 및 배급업","시각효과(Visual Effect, VFX)"
701,025950,동신건설,토목 건설업,토목
702,032960,동일기연,전자부품 제조업,EMI
703,073190,듀오백,가구 제조업,사무용 및 가정용 의자
704,109740,디에스케이,특수 목적용 기계 제조업,"FPD용 PCB Bonding System, In-line System, Linear Motion System 등"
705,127120,디엔에이링크,자연과학 및 공학 연구개발업,"유전체분석(EGIS), 개인유전체분석(DNAGPS)"
706,134580,디엠티,통신 및 방송 장비 제조업,셋톱박스
707,043360,디지아이,컴퓨터 및 주변장치 제조업,"잉크젯 플로터, 커팅 플로터"
708,068930,디지털대성,일반 교습 학원,대성N스쿨 (교육 프랜차이즈)
709,171010,램테크놀러지,기초 화학물질 제조업,"AMOLED 마스크 세정액, 반도체 식각액, 반도체 박리액"
710,090360,로보스타,특수 목적용 기계 제조업,"제조용 로봇, FPD 장비, IT부품 제조장비"
711,900260,로스웰,기타 금융업,"CAN Control Gateway, CAN기능모듈, BCM 차체제어모듈"
712,012700,리드코프,기타 전문 도매업,화공약품운반
