Date,Open,High,Low,Close,Volume,Change
2013-03-26,97551,97556,97350,97424,818,-0.0002873209374871788
2013-03-27,97536,97561,97451,97520,267,0.0009853834784037119
2013-03-28,97739,98224,97739,98226,123,0.007239540607054895
2013-03-29,98224,112954,97990,98139,481,-0.0008857125404678756
2013-04-01,98141,98141,97913,97955,379,-0.0018748917351919525
2013-04-02,97826,98091,97826,98016,40,0.0006227349293042028
2013-04-03,98022,98110,98022,98111,67,0.0009692295135488305
2013-04-04,98160,98202,98032,98203,535,0.0009377134062440451
2013-04-05,98302,98325,98302,98327,109,0.0012626905491686102
2013-04-08,98325,98325,98302,98304,71,-0.00023391337069167406
2013-04-09,98233,98330,98128,98203,18,-0.0010274251302083703
2013-04-10,98086,98188,98086,98188,2,-0.0001527448244962315
2013-04-11,97895,97895,97313,97316,473,-0.008880922312298867
2013-04-12,97295,97295,96897,96995,1064,-0.003298532615397254
2013-04-15,96993,97263,96993,97151,24,0.0016083303263054738
2013-04-16,97364,97647,97364,97649,160,0.005126040905394591
2013-04-17,97780,97780,97780,97782,152,0.001362021116447787
2013-04-18,97844,97913,97683,97915,133,0.0013601685381767759
2013-04-19,97821,97916,97821,97919,104,4.085175917878381e-05
2013-04-22,97916,98021,97792,97919,800,0.0
2013-04-23,97986,97986,97986,97989,21,0.0007148765816644698
2013-04-24,97959,98096,97959,97989,1160,0.0
2013-04-25,98018,98242,98018,98245,324,0.0026125381420363247
2013-04-26,98348,98631,98348,98505,103,0.002646445111710527
2013-04-29,98503,98562,98503,98546,605,0.00041622252677520066
2013-04-30,98595,98636,98595,98638,665,0.0009335741684086685
2013-05-02,99043,99148,99026,99026,1046,0.00393357529552496
2013-05-03,98952,99107,98920,99005,337,-0.00021206551814678676
2013-05-06,98838,98838,98499,98501,864,-0.00509065198727332
2013-05-07,98481,98646,98481,98647,177,0.0014822184546350314
2013-05-08,98339,98339,98339,98340,32,-0.0031121068050726786
2013-05-09,98875,98875,98379,98382,81,0.0004270896888347586
2013-05-10,98219,98252,98141,98143,133,-0.002429306173893586
2013-05-13,98005,98077,97959,98080,80,-0.0006419204629978248
2013-05-14,97900,98224,97900,98139,200,0.0006015497553018001
2013-05-15,98119,98119,97990,97993,130,-0.0014876858333587872
2013-05-16,98096,98110,98013,98111,116,0.0012041676446277183
2013-05-20,97049,97949,97049,97865,165,-0.0025073641080001208
2013-05-21,97995,97995,97826,97828,76,-0.0003780718336483524
2013-05-22,97853,97853,97803,97804,162,-0.0002453285357975066
2013-05-23,97638,97839,97638,97792,12,-0.0001226943683284576
2013-05-24,97744,97921,97717,97769,156,-0.00023519306282726582
2013-05-27,97853,98050,97853,97860,14,0.0009307653755279421
2013-05-28,97940,97940,97776,97777,128,-0.0008481504189659095
2013-05-29,97359,97395,96869,97018,855,-0.007762561747650221
2013-05-30,97135,97135,97071,97081,61,0.0006493640355398345
2013-05-31,97071,97071,96677,96679,140,-0.004140872055294009
2013-06-03,96746,96746,96585,96642,212,-0.00038270979219889867
2013-06-04,96667,96667,96667,96670,1,0.0002897291032883942
2013-06-05,96508,96508,96293,96377,48,-0.0030309299679321944
2013-06-07,96402,96604,96402,96605,979,0.002365709661018789
2013-06-10,96406,96406,96118,96290,394,-0.003260700791884452
2013-06-11,96503,96503,96315,96317,119,0.00028040294942366373
2013-06-12,97940,97940,95538,95539,254,-0.008077494107997518
2013-06-13,95807,95807,95500,95740,11,0.0021038528768355658
2013-06-14,95939,96174,95939,96175,443,0.004543555462711568
