Date,Open,High,Low,Close,Volume,Change
2016-01-07,22418,22501,22194,22255,11213386,-0.009480149546021055
2016-01-08,22120,22430,22072,22411,12256496,0.00700966075039311
2016-01-11,22124,22237,22068,22161,10958834,-0.011155236267904156
2016-01-12,22261,22317,22048,22096,11482979,-0.002933080637155361
2016-01-13,22194,22449,22190,22406,6266754,0.014029688631426396
2016-01-14,22147,22190,21982,22194,11743773,-0.009461751316611644
2016-01-15,22374,22422,21855,21964,14708099,-0.010363161214742678
2016-01-18,21732,21977,21654,21945,13340313,-0.0008650519031141446
2016-01-19,21940,22058,21747,22062,7491171,0.00533151059466852
2016-01-20,21955,21977,21408,21558,18654631,-0.022844710361707876
2016-01-21,21562,21723,21494,21506,21662805,-0.002412097597179752
2016-01-22,21714,21967,21700,21973,10685009,0.021714870268762176
2016-01-25,22048,22209,21959,22091,7052432,0.005370227096891611
2016-01-26,21959,21982,21686,21812,7114632,-0.012629577656058988
2016-01-27,21982,22157,21964,22118,9841202,0.014028974876215017
2016-01-28,21950,22172,21860,22153,8797919,0.0015824215571027533
2016-01-29,22075,22185,21940,22184,6034975,0.0013993590032952419
2016-02-01,22294,22444,22247,22344,6549363,0.007212405337180039
2016-02-02,22256,22341,22167,22189,4881273,-0.006936985320443956
2016-02-03,21955,21972,21827,21935,3880539,-0.01144711343458471
2016-02-04,22085,22355,22058,22340,8733034,0.018463642580351047
2016-02-05,22304,22454,22284,22397,6815237,0.002551477170993799
2016-02-11,21912,21940,21737,21793,9004346,-0.026967897486270487
2016-02-12,21671,21766,21475,21633,21102574,-0.007341807002248402
2016-02-15,21855,21972,21808,21916,11780526,0.013081865668192139
2016-02-16,21931,22280,21931,22236,6015075,0.014601204599379525
2016-02-17,22180,22369,22152,22264,6529035,0.0012592192840439331
2016-02-18,22557,22557,22430,22454,7532432,0.008533956162414702
2016-02-19,22413,22520,22413,22501,8483098,0.002093168255099309
2016-02-22,22439,22610,22398,22538,7132764,0.0016443713612728228
2016-02-23,22651,22660,22487,22543,5621276,0.00022184754636622728
2016-02-24,22510,22601,22422,22523,5258370,-0.0008871933637936147
2016-02-25,22567,22722,22464,22548,5827686,0.0011099764684989744
2016-02-26,22642,22694,22543,22595,6107882,0.0020844420791201745
2016-02-29,22530,22670,22496,22568,6109176,-0.0011949546359814045
2016-03-02,22828,22925,22808,22912,9181257,0.015242821694434694
2016-03-03,22958,22981,22915,22984,10971645,0.003142458100558576
2016-03-04,22976,23038,22935,22989,6674559,0.0002175426383570489
2016-03-07,23029,23081,23014,23034,6048657,0.0019574579146548476
2016-03-08,23063,23072,22799,22873,6036529,-0.006989667448120129
2016-03-09,22828,22967,22789,22974,5275656,0.004415686617409209
2016-03-10,23014,23294,22996,23183,8053442,0.009097240358666214
2016-03-11,23190,23279,23162,23235,6403933,0.0022430229047145644
2016-03-14,23365,23365,23194,23216,8175260,-0.0008177318700236524
2016-03-15,23214,23284,23119,23198,5265123,-0.0007753273604410582
2016-03-16,23251,23360,23199,23259,5109429,0.0026295370290543296
2016-03-17,23355,23582,23340,23387,13686198,0.0055032460552904006
2016-03-18,23486,23491,23350,23401,5537119,0.0005986231667165498
2016-03-21,23483,23539,23299,23372,3691275,-0.0012392632793470915
2016-03-22,23426,23486,23379,23490,3391564,0.005048776313537617
2016-03-23,23496,23573,23435,23471,5018319,-0.000808854831843342
2016-03-24,23397,23479,23312,23410,4471112,-0.0025989518980870097
2016-03-25,23449,23459,23355,23367,3739345,-0.00183682187099532
2016-03-28,23365,23474,23355,23406,3106925,0.0016690204134035547
2016-03-29,23402,23553,23402,23528,7442377,0.005212338716568343
2016-03-30,23629,23691,23604,23632,8646915,0.0044202652159128775
2016-03-31,23671,23676,23464,23533,6169286,-0.004189234935680464
2016-04-01,23501,23520,23194,23198,5873019,-0.014235329112310402
2016-04-04,23214,23265,23162,23240,4534992,0.0018105009052504784
2016-04-05,23175,23185,23019,23047,3235081,-0.008304647160068845
2016-04-06,23043,23204,23034,23163,5765736,0.005033193040308914
2016-04-07,23251,23294,23081,23178,3262219,0.0006475845097784205
2016-04-08,23038,23153,22930,23132,4175754,-0.0019846406074726097
2016-04-11,23124,23185,23029,23150,4489748,0.000778142832439821
2016-04-12,23153,23345,23133,23335,3786372,0.007991360691144811
2016-04-14,23681,23816,23619,23812,6799776,0.020441397043068354
2016-04-15,23794,23863,23766,23792,8429479,-0.0008399126490844511
2016-04-18,23614,23727,23573,23712,3563670,-0.00336247478143914
2016-04-19,23780,23854,23727,23745,3458417,0.0013917004048582537
2016-04-20,23780,23892,23662,23665,3405538,-0.0033691303432301645
2016-04-21,23771,23896,23751,23849,3198893,0.007775195436298343
2016-04-22,23766,23826,23723,23759,4006546,-0.003773743133884011
2016-04-25,23761,23771,23653,23731,4152831,-0.001178500778652336
2016-04-26,23723,23883,23704,23802,2157664,0.002991867177952967
2016-04-27,23790,23831,23776,23802,4288114,0.0
2016-04-28,23918,23918,23554,23557,8303112,-0.010293252667843089
2016-04-29,23554,23578,23376,23480,4103000,-0.003268667487371091
2016-05-02,23429,23434,23285,23302,4681049,-0.007580919931856944
2016-05-03,23395,23415,23309,23374,4827054,0.0030898635310274702
2016-05-04,23260,23323,23184,23254,4394388,-0.005133909472062936
2016-05-09,23251,23290,23165,23215,5981643,-0.0016771308162036869
2016-05-10,23165,23305,23155,23307,3887521,0.003962954986000522
2016-05-11,23376,23380,23165,23282,4838240,-0.0010726391212940722
2016-05-12,23203,23295,23132,23229,6711310,-0.0022764367322395396
